title,description,priority,tags
School without drinking water,"School without drinking water reported in the residential colony, causing inconvenience and safety concerns.",low,['education']
Damaged bus stop,"Damaged bus stop reported in the market area, causing inconvenience and safety concerns.",low,"['transport', 'infrastructure', 'road']"
Waste dumped on street,"Waste dumped on street reported outside the railway station, causing inconvenience and safety concerns.",low,"['environment', 'sanitation', 'garbage']"
Bad smell from drains,There has been a persistent issue with bad smell from drains in the market area. Residents are concerned.,low,"['health', 'sanitation']"
Broken bench,There has been a persistent issue with broken bench at the community center. Residents are concerned.,medium,"['infrastructure', 'public safety']"
Contaminated water,"A case of contaminated water has emerged by the school gate, disrupting daily activities.",low,['water']
Missing bus route board,Citizens have complained about missing bus route board in the residential colony. It has been ignored for days.,low,['transport']
Overflowing bins,Citizens have complained about overflowing bins at the bus depot. It has been ignored for days.,low,"['environment', 'sanitation', 'garbage']"
Open sewage,Citizens have complained about open sewage behind the hospital. It has been ignored for days.,high,"['health', 'sanitation', 'environment']"
Faded zebra crossing,The area behind the hospital is suffering due to faded zebra crossing. Immediate attention is needed.,low,"['infrastructure', 'road']"
Bad smell from drains,"A case of bad smell from drains has emerged by the school gate, disrupting daily activities.",low,['sanitation']
School without drinking water,"School without drinking water reported outside Building 14, causing inconvenience and safety concerns.",low,"['infrastructure', 'health', 'education']"
Dark alley,"A case of dark alley has emerged by the school gate, disrupting daily activities.",high,"['public safety', 'health']"
Pipe leakage,Citizens have complained about pipe leakage behind the hospital. It has been ignored for days.,low,"['health', 'sanitation', 'water']"
Bad smell from drains,There has been a persistent issue with bad smell from drains by the school gate. Residents are concerned.,low,['sanitation']
Non-functional streetlight,"Non-functional streetlight reported near Sector 5, causing inconvenience and safety concerns.",medium,['streetlight']
Street in darkness,Authorities are yet to act on the street in darkness problem in the residential colony.,high,['streetlight']
Broken bench,"A case of broken bench has emerged near the lake, disrupting daily activities.",medium,"['infrastructure', 'environment']"
Damaged wall,"Damaged wall reported in the residential colony, causing inconvenience and safety concerns.",low,"['infrastructure', 'public safety', 'environment']"
Missing bus route board,"Missing bus route board reported by the school gate, causing inconvenience and safety concerns.",low,['transport']
Open sewage,"A case of open sewage has emerged at the community center, disrupting daily activities.",high,"['health', 'sanitation']"
Dirty public toilet,"A case of dirty public toilet has emerged in the market area, disrupting daily activities.",low,['health']
Sparking transformer,Citizens have complained about sparking transformer at the bus depot. It has been ignored for days.,high,['electricity']
Frequent voltage drops,"A case of frequent voltage drops has emerged in the market area, disrupting daily activities.",low,"['electricity', 'public safety']"
Signal blocked by trees,The area at the community center is suffering due to signal blocked by trees. Immediate attention is needed.,medium,['signal']
Flickering light,The area in the market area is suffering due to flickering light. Immediate attention is needed.,medium,['streetlight']
Mosquito breeding site,The area at the community center is suffering due to mosquito breeding site. Immediate attention is needed.,low,"['health', 'environment']"
School without drinking water,"School without drinking water reported at the bus depot, causing inconvenience and safety concerns.",low,"['infrastructure', 'health', 'education']"
Dirty public toilet,Citizens have complained about dirty public toilet in the market area. It has been ignored for days.,low,"['health', 'sanitation', 'environment']"
Tree fallen on road,There has been a persistent issue with tree fallen on road outside the railway station. Residents are concerned.,low,"['sanitation', 'environment']"
Polluted water body,There has been a persistent issue with polluted water body in the market area. Residents are concerned.,low,"['health', 'environment']"
Faded zebra crossing,The area outside the railway station is suffering due to faded zebra crossing. Immediate attention is needed.,low,['road']
No water supply,Citizens have complained about no water supply in the residential colony. It has been ignored for days.,low,['water']
Unsafe footpath,"Unsafe footpath reported in the market area, causing inconvenience and safety concerns.",high,"['infrastructure', 'public safety', 'health']"
Mosquito breeding site,Citizens have complained about mosquito breeding site near Sector 5. It has been ignored for days.,low,['health']
Dark alley,The area outside Building 14 is suffering due to dark alley. Immediate attention is needed.,high,"['public safety', 'health']"
Overflowing bins,"Overflowing bins reported in the market area, causing inconvenience and safety concerns.",low,"['environment', 'sanitation', 'garbage']"
